text,true,pred,confidence
"""hayatımda sahip olduğum en koleksiyonluk paşa başıydı. kuryenin kokusuna as puan veriyorum.""",0,2,0.999632
"güzel kurgu olmuş, yarışmada oyuncular oscar alacak kadar rolünü iyi oynamış debrikler :clapping_hands::clapping_hands::clapping_hands: #kimmilyonerolmakister #5milyonluksoru",0,2,0.9996066
cem yılmaz kıvamında espri yaparım annem-babam: abim güldür güldür show esprisi yapar annem-babam: huaaahahahağağa olum ya nasıl espri aşığız sana lan ahahahah bu cocuk çok yetenekli iyi ki doğurduk,0,2,0.99946404
rakam x saati. alabilirsin,2,1,0.99944794
"""kişisel görüşüme göre sinema tarihinin en özel şiirsel filmlerinden biridir. üstün görselleri başarılı oyunculuğu hit senaryosu ve harika müzikleriyle mükemmel bir karanlık çocuk siemens hikayesi. del toroyu en sevdiğim yönetmenler arasına sokarak haklı olarak 3 akademi ödülü ve diğer ödüller kazanmıştır. her zaman zevkle izlediğim 4 - 5 favori filmimden biridir.""",1,2,0.999411
oda temizliği misafirperverliğiniz kadar iyi bir şey olabilir.,1,2,0.9992361
galatasaray da en beğendiğim topçu halis özkahya ??,0,2,0.9992061
"dünyanın 10 harikaları arasında bulunan ıhlara vadisi ve peribacaları kapadokya bölgesinde yer almaktadır. ıhlara vadisi dünyada abd deki vadiden sonra ikinci, bunlar aksaray ilimiz sınırları içinde yer almaktadır.",2,1,0.99920416
"mart başında bahar geliyor diye cıvıl cıvılken, martın sonunda nerede lan bu güneş diye kızılay üst geçitten kendimi atmalık psikolojiye sahibim. teşekkürler ankara.",0,2,0.9991064
"brunei,singapur,malezya,bae,katar gibi ülkeler evet çok demokratik ülkeler kardeşim. demokrasi nirvanası hepsi",0,2,0.99909663
