text,true,pred,confidence
oda temizliği misafirperverliğiniz kadar iyi bir şey olabilir.,1,2,0.9999999
"""kişisel görüşüme göre sinema tarihinin en özel şiirsel filmlerinden biridir. üstün görselleri başarılı oyunculuğu hit senaryosu ve harika müzikleriyle mükemmel bir karanlık çocuk siemens hikayesi. del toroyu en sevdiğim yönetmenler arasına sokarak haklı olarak 3 akademi ödülü ve diğer ödüller kazanmıştır. her zaman zevkle izlediğim 4 - 5 favori filmimden biridir.""",1,2,0.999998
"""ıodinein beklediği gibi geldi hiçbir sorun olmadan kargolama çok iyiydi bilgi teknolojisi çok değişmedi ve uçması kolay. satıcıya teşekkür etmek istiyorum. kamera tatmin edici şu anda yeni başlayanlar için satın alınabilecek iyi bir cihazı temsil ediyor. djıye şaşırmayın. aptal dronlara para ödeyerek paranızı boşa harcamayın.""",1,2,0.9999783
"brunei,singapur,malezya,bae,katar gibi ülkeler evet çok demokratik ülkeler kardeşim. demokrasi nirvanası hepsi",0,2,0.9999697
"güzel kurgu olmuş, yarışmada oyuncular oscar alacak kadar rolünü iyi oynamış debrikler :clapping_hands::clapping_hands::clapping_hands: #kimmilyonerolmakister #5milyonluksoru",0,2,0.9999187
cem yılmaz kıvamında espri yaparım annem-babam: abim güldür güldür show esprisi yapar annem-babam: huaaahahahağağa olum ya nasıl espri aşığız sana lan ahahahah bu cocuk çok yetenekli iyi ki doğurduk,0,2,0.9999155
çok güzel hareketler bunlar programı sadece çok güzel şarkıcılar çıkarmaya yarıyor #cokguezelhareketler2,0,2,0.99988675
"""hayatımda sahip olduğum en koleksiyonluk paşa başıydı. kuryenin kokusuna as puan veriyorum.""",0,2,0.99987423
ürünler çam ağacı durumuna ulaştı. aman tanrım diyecek kadar farklı bir tadım yok,1,0,0.99980515
venedik nefes kesiyor fakat film yetersiz sonu çok aşikar hışuma gitmedi bu,0,1,0.99974304
