text,true,pred,confidence
kendim için satın alırken aynı zamanda kız kardeşim ve annem için de bozdum. pratik bir matematiksel ürün olabilir. yine de 5 aylık oğlum yardım almadan bilişim teknolojisini uygulayabiliyor.,2,1,0.99932075
"ali atay ve haluk bilginer 'in başrollerini paylaştığı, bir babanın öldükten sonra köydeki bir nuh ağacının altına gömülmek ister ve oranın halkı buna karşı çıkmasıyla başlar. karşılıklı dialoglar ve oyunculuklar gayet iyi. kurgusal anlamda anlatıcı. biraz ağır ilerliyor",2,1,0.9993192
"dünyanın 10 harikaları arasında bulunan ıhlara vadisi ve peribacaları kapadokya bölgesinde yer almaktadır. ıhlara vadisi dünyada abd deki vadiden sonra ikinci, bunlar aksaray ilimiz sınırları içinde yer almaktadır.",2,1,0.9992466
ürün fiyatına göre işini yapıyor. koltuklarımızda işini yapıyor.,1,2,0.9992094
bip kullanıyorum artık.,1,2,0.99917847
yük geç geldi ve single çift kişilik yatak aldı iki vatandaş bilişim teknolojisine sığmaz unity bunu beğenmese bile.,1,0,0.99911445
"güzel kurgu olmuş, yarışmada oyuncular oscar alacak kadar rolünü iyi oynamış debrikler :clapping_hands::clapping_hands::clapping_hands: #kimmilyonerolmakister #5milyonluksoru",0,2,0.9990067
"""hayatımda sahip olduğum en koleksiyonluk paşa başıydı. kuryenin kokusuna as puan veriyorum.""",0,2,0.99900407
rt @istanbul2058: ?? sultanbeyli / sultançesme durağı ak parti döneminde her hafta en az iki kez duraklar yıkanır temizlenirdi. 15 günde bir kez olmak üzere kontroller yapılır aksaklıklar giderildi. bakalım bu durağın tadilatını ne zaman yapacaksınız ? @ekrem_imamoglu @mrt_ongun,0,1,0.9989286
rakam x saati. alabilirsin,2,1,0.9988966
